resourceID,name,description,website
162,Global Learning Passport,"The Learning Passport, a collaborative initiative between UNICEF and Microsoft, is a comprehensive digital education platform. Learning Passport’s primary mission is to provide children and adolescents with continuous access to high-quality educational content in line with their distinct learning needs.",https://global.learningpassport.unicef.org/
163,USupportMe,"Unicef platform working on providing on demand, remote access for young people to existing psychosocial support services through an Uber-like app",https://www.unicef.org/innovation/stories/mental-health-support-goes-digital
164,Freedom Signal,Freedom Signal uses proactive outreach and cutting-edge technology to reach victims of online sex trafficking or sexual exploitation.,https://freedomsignal.org/victim-outreach
165,Waliku,"Waliku, Indonesian for “my guardian,” seeks to address education and well-being disparities among school-aged children by strategically using digital tools and data to identify and respond to high-risk students.",https://waliku.weebly.com/
166,Woebot,Personal mental health ally that helps you get back to feeling like yourself.,https://woebothealth.com/
167,Worth Warrior,"App to help young people manage low self-worth, poor body image and related eating disorders",https://www.worthwarrior.co.uk/
168,Wysa,"AI Coach offering 'emotionally intelligent' service which responds to the emotions you express and uses evidence-based cognitive-behavioral techniques (CBT), DBT, meditation, breathing, yoga, motivational interviewing and micro-actions to help you build mental resilience skills and feel better.",https://www.wysa.io/
169,Xiao En Intelligent Robots,Intelligent Robot Project to support left-behind-children in China,https://www.sciencedirect.com/science/article/abs/pii/S0190740918310272
170,Buddy,"Buddy, THE FIRST SMART, MOBILE AND EMOTIONAL ROBOT AT AN AFFORDABLE PRICE",https://www.bluefrogrobotsics.com/buddy-en
171,Tilli,"Tilli is an award-winning, social-emotional learning tool for early learners that combines Playful Learning, Behavioral Sciences, and Data to drive lifelong, behavioral changes in kids and their caregivers",https://www.tillikids.com/
172,Como Se Eu Fosse,Immersive therapeutic learning experience to challenge online hate and stop its expansion,https://talk2u.co/journeys/online-hate
173,Mee Pya Tike,"Mee Pya Tike is the first and only one text chat platform for emotional support for Myanmar people by Myanmar language. It’s free, private and anonymous so you can easily start chatting with available volunteer supporters.",https://play.google.com/store/apps/details?id=com.teamflow.meepyatike&hl=en&gl=US
174,Bookbot,"Bookbot reading assistants offer your child an interactive reading experience by listening to your child read aloud, provide instant feedback and rewarding their progress.",https://www.bookbotkids.com/
175,AfriLearn,"Afrilearn is an inspired education technology enterprise integrating genius teachers, animators, and developers to provide a free, world-class education for Africans, anywhere.",https://www.myafrilearn.com/
176,Paro,The lifelike seal has been enhancing patient engagement in care facilities around the world,http://www.parorobotss.com/
177,Meron,AI tool to get accurate data on child malnutrition,https://kimetrica.com/our-projects/?country=&service=&search=MERON#start
178,Veative,Veative is a global provider of VR education and learning simulations for schools and industries.,https://veative.com/
179,Imisi3d,Virtual Reality developer and community exploring how to best develop educational content for schools in Nigeria.,https://imisi3d.com/
180,KIDS COUNT,"The Annie E. Casey Foundation's KIDS COUNT® (LA INFANCIA CUENTA™) is a premier source of data on children/youth and families. Find indicators for the nation, states and more.",https://datacenter.aecf.org/
181,VR for domestic violence prevention,Virtual reality for the rehabilitation and prevention of intimate partner violence – From brain to behavior: A narrative review,https://www.frontiersin.org/articles/10.3389/fpsyg.2022.788608/full
182,Leka,"Leka, a robotsic companion to help support children with disabilities. It gives them every opportunity to progress and blossom.",https://leka.io/en/home/
183,HarassMap,"HarassMap is a reporting and mapping system for sexual harassment incidences. By taking a collective stand against sexual harassment, re-establishing social consequences for harassers – and making role models of people who stand up to them –  we believe that harassers can be deterred from harassing again.",https://www.harassmap.org/en/
184,Magic Horizons,"Magic Horizons is a holistic platform on which customers can find virtual reality solutions for stress reduction, patient calming, mental training and the promotion of mental health.",https://magic-horizons.com/en/
185,Haru,Haru is a new kind of robotsic being designed to make people happy.,https://www.jp.honda-ri.com/en/activity/haru-the-social-robots/
186,Loona,"Petbot companion who's always there, plays and learns with you, and can find the charging dock when power is low.",https://keyirobots.com/en-eu
187,Clickbot,"ClicBot is an intelligent, cute, and educational robots, a friend that grows with you and offers new experiences all the time.",https://keyirobots.com/pages/products-page
188,Skillcity,"An immersive, interactive and realistic environment to develop key skills for life at primary and secondary school through a learner-led process we call discuss - decide - do.",http://www.360skillsforlife.org/
189,Life Skills App,The Life Skills App features realistic game-based lessons designed to equip adolescents with the social and emotional skills to navigate the transition from childhood to adulthood.,https://www.lifeskills.nubianvr.com/
190,Ushahidi,"The Ushahidi Platform helps communities turn information into action with an intuitive and accessible crowdsourcing and mapping tool. By enabling the rapid collection, management and analysis of crowdsourced information, Ushahidi empowers everyone—individuals, community groups, governments, activists, organizations—to create meaningful change.",https://www.ushahidi.com/
191,RACHEL,"RACHEL (Remote Area Community Hotspot for Education and Learning) is a portable, battery-powered, device that contains copies of educational websites in offline format. This means RACHEL can reach kids in rural and isolated areas.",https://www.racheloffline.org/
192,Kolibri,Kolibri is an adaptable set of open solutions specially developed to support learning for the half of the world without Internet access.,https://learningequality.org/kolibri/
193,Webwise,"Webwise promotes safer, better internet use through awareness raising and education initiatives targeting teachers, children, young people and parents.",https://www.webwise.ie/
194,Augintel,Augintel makes a caseworkers' tough jobs easier by bringing the benefits of natural language processing (NLP) to child welfare organizations.,https://www.augintel.us/child-welfare
195,Aurora,Aurora is the first real-time monitoring and evaluation system that allows social workers to identify vulnerable children and deliver a minimum social services package.,https://www.atta.systems/case-studies/aurora-project
196,FPN KonekTaS,"FPN KonekTaS is an interactive online platform that brings together practitioners, teachers and students of social work and social policy in Serbia to share new theoretical and practical knowledge, professional experiences and dilemmas and strategies for overcoming obstacles caused by COVID 19, but also in their everyday work.",https://eespn.euro.centre.org/an-interactive-online-platform-for-students-and-practitioners-of-social-work-in-serbia-and-the-wider-region/
197,Akshaya Patra,"Akshaya Patra uses big data to streamline raising and allocating funds, forecasting trends and planning campaigns to further the cause of providing food for education to underprivileged children in India.",https://www.akshayapatra.org/news/increasing-efficiency-with-big-data-analytics
198,Crisis Text Line,"Crisis Text Line is a nonprofit organization that provides free, 24/7, high-quality text-based mental health support and crisis intervention in English and Spanish",https://www.crisistextline.org/
199,CatHill,CatHill is an emotion-based interactive storytelling game leveraging Cognitive Behavioral Therapy (CBT) to help young people with chronic mental health conditions. (This falls into the category of so-called 'serious games'),https://dl.acm.org/doi/abs/10.1145/3544549.3585639
200,Attendance monitoring app,"Schools Harness Technology to Combat Child Marriage: Based on data captured in the attendance monitoring app, the school management sends SMS to parents of the child who is absent for two days. In case the child is absent for more than two days, the Welfare and Education Assistant at the village secretariat and ward secretariat level is alerted. This has been used successfully to intervene in child marriage situations.",https://www.linkedin.com/pulse/schools-harness-technology-combat-child-marriage-bhuwan-ribhu-0ppcc/
